"filename", "language", "Dart", "comment", "blank", "total"
"d:\VSCode\Flutter\watering_app\lib\core\constants\api_path.dart", "Dart", 8, 0, 2, 10
"d:\VSCode\Flutter\watering_app\lib\core\network\network_service_provider.dart", "Dart", 17, 2, 5, 24
"d:\VSCode\Flutter\watering_app\lib\features\devices\presentation\screens\schedule_tab_screen.dart", "Dart", 8, 0, 1, 9
"d:\VSCode\Flutter\watering_app\lib\features\groups\presentation\screens\group_schedule_tab_screen.dart", "Dart", 19, 0, 0, 19
"d:\VSCode\Flutter\watering_app\lib\features\home\data\models\article_model.dart", "Dart", 44, 0, 5, 49
"d:\VSCode\Flutter\watering_app\lib\features\home\data\source\home_remote.dart", "Dart", 30, 0, 1, 31
"d:\VSCode\Flutter\watering_app\lib\features\home\domain\home_repository.dart", "Dart", 2, 0, 0, 2
"d:\VSCode\Flutter\watering_app\lib\features\home\domain\home_repository_impl.dart", "Dart", 13, 0, 1, 14
"d:\VSCode\Flutter\watering_app\lib\features\home\domain\home_repository_provider.dart", "Dart", 1, 0, 0, 1
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\articles_screen.dart", "Dart", 116, 4, 10, 130
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\home_screen copy.dart", "Dart", -3, 0, 0, -3
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\home_screen.dart", "Dart", 106, 5, 4, 115
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\screens\webview_screen.dart", "Dart", 66, 2, 7, 75
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\artical_item_card.dart", "Dart", -94, -1, -3, -98
"d:\VSCode\Flutter\watering_app\lib\features\home\presentation\widgets\article_item_card.dart", "Dart", 95, 1, 4, 100
"d:\VSCode\Flutter\watering_app\lib\features\home\providers\home_provider.dart", "Dart", 30, 2, 5, 37
"d:\VSCode\Flutter\watering_app\lib\features\home\providers\home_state.dart", "Dart", 2, 0, 0, 2
"Total", "-", 460, 15, 42, 517
