"filename", "language", "Dart", "comment", "blank", "total"
"d:\VSCode\Flutter\watering_app\lib\core\app.dart", "Dart", 25, 3, 3, 31
"d:\VSCode\Flutter\watering_app\lib\core\app_lifecycle_observer.dart", "Dart", 54, 10, 9, 73
"d:\VSCode\Flutter\watering_app\lib\core\constants\api_path.dart", "Dart", 64, 4, 11, 79
"d:\VSCode\Flutter\watering_app\lib\core\constants\api_strings.dart", "Dart", 24, 0, 8, 32
"d:\VSCode\Flutter\watering_app\lib\core\constants\app_assets.dart", "Dart", 18, 0, 4, 22
"d:\VSCode\Flutter\watering_app\lib\core\constants\app_colors.dart", "Dart", 49, 0, 2, 51
"d:\VSCode\Flutter\watering_app\lib\core\constants\app_strings.dart", "Dart", 15, 0, 4, 19
"d:\VSCode\Flutter\watering_app\lib\core\constants\shared_preference_key.dart", "Dart", 10, 0, 0, 10
"d:\VSCode\Flutter\watering_app\lib\core\constants\stomp_path.dart", "Dart", 15, 0, 7, 22
"d:\VSCode\Flutter\watering_app\lib\core\data\models\history_watering_model.dart", "Dart", 30, 0, 6, 36
"d:\VSCode\Flutter\watering_app\lib\core\data\models\schedule_model.dart", "Dart", 93, 1, 8, 102
"d:\VSCode\Flutter\watering_app\lib\core\main_scaffold.dart", "Dart", 120, 2, 8, 130
"d:\VSCode\Flutter\watering_app\lib\core\navigations\transitions.dart", "Dart", 49, 0, 4, 53
"d:\VSCode\Flutter\watering_app\lib\core\network\auth_dio_network_service.dart", "Dart", 75, 1, 6, 82
"d:\VSCode\Flutter\watering_app\lib\core\network\dio_network_service.dart", "Dart", 135, 3, 9, 147
"d:\VSCode\Flutter\watering_app\lib\core\network\interceptors\auth_interceptor.dart", "Dart", 110, 13, 13, 136
"d:\VSCode\Flutter\watering_app\lib\core\network\network_service_provider.dart", "Dart", 50, 7, 11, 68
"d:\VSCode\Flutter\watering_app\lib\core\network\stomp_service.dart", "Dart", 265, 38, 63, 366
"d:\VSCode\Flutter\watering_app\lib\core\network\stomp_service_provider.dart", "Dart", 5, 0, 1, 6
"d:\VSCode\Flutter\watering_app\lib\core\utils\debug_print.dart", "Dart", 6, 0, 2, 8
"d:\VSCode\Flutter\watering_app\lib\core\utils\notification_service.dart", "Dart", 42, 1, 10, 53
"d:\VSCode\Flutter\watering_app\lib\core\widgets\bottom_nav_bar.dart", "Dart", 90, 10, 4, 104
"d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_app_bar.dart", "Dart", 89, 1, 5, 95
"d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_circular_progress.dart", "Dart", 25, 0, 4, 29
"d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_fab.dart", "Dart", 96, 0, 4, 100
"d:\VSCode\Flutter\watering_app\lib\core\widgets\custom_snack_bar.dart", "Dart", 76, 0, 2, 78
"d:\VSCode\Flutter\watering_app\lib\core\widgets\edit_schedule_sheet.dart", "Dart", 491, 7, 30, 528
"d:\VSCode\Flutter\watering_app\lib\core\widgets\history_watering_data_table.dart", "Dart", 65, 0, 9, 74
"d:\VSCode\Flutter\watering_app\lib\core\widgets\icons\back_icon.dart", "Dart", 17, 0, 4, 21
"d:\VSCode\Flutter\watering_app\lib\core\widgets\schedule_list_item.dart", "Dart", 200, 10, 16, 226
"d:\VSCode\Flutter\watering_app\lib\core\widgets\search_bar.dart", "Dart", 138, 9, 14, 161
"d:\VSCode\Flutter\watering_app\lib\core\widgets\sort_button.dart", "Dart", 164, 7, 9, 180
"d:\VSCode\Flutter\watering_app\lib\core\widgets\text_form_field\normal_text_form_field.dart", "Dart", 104, 0, 4, 108
"d:\VSCode\Flutter\watering_app\lib\core\widgets\text_form_field\password_text_form_field.dart", "Dart", 76, 0, 7, 83
"d:\VSCode\Flutter\watering_app\lib\features\authentication\data\models\user_model.dart", "Dart", 49, 0, 6, 55
"d:\VSCode\Flutter\watering_app\lib\features\authentication\data\source\auth_local.dart", "Dart", 73, 6, 17, 96
"d:\VSCode\Flutter\watering_app\lib\features\authentication\data\source\auth_remote.dart", "Dart", 207, 4, 11, 222
"d:\VSCode\Flutter\watering_app\lib\features\authentication\domain\repository\auth_repository.dart", "Dart", 27, 0, 2, 29
